product_id,카테고리,평점,속성_num,트러블,수분,세정력,보습,메이크업,건성,진정,저자극,세안,화장,피부타입_건성에 좋아요,피부타입_복합성에 좋아요,피부타입_지성에 좋아요,흡수,쿨링,여드름,모공,지성,피지,거품,각질,향,냄새,건조,유분,약산성,review
A000000112410,maskpack,4.4,4,0,5,0,2,0,0,2,2,0,0,0.38,0.54,0.08,2,0,0,0,2,0,0,0,0,0,1,2,0,28
A000000112523,suncare,4.6,4,12,7,0,0,0,0,1,19,0,0,0.41,0.54,0.05,5,0,0,0,9,0,0,0,0,0,13,15,0,100
A000000112636,skincare,4.7,4,10,23,0,25,0,0,8,7,0,0,0.5,0.44,0.06,21,0,0,0,4,0,0,0,0,0,23,4,0,100
A000000113195,skincare,4.7,4,16,24,0,13,0,0,8,12,0,0,0.08,0.46,0.46,17,0,0,0,20,25,0,0,0,0,17,15,0,99
A000000113471,cleansing,4.7,5,5,0,17,0,0,0,0,35,0,0,0.14,0.66,0.2,0,0,4,7,4,9,16,0,0,0,7,0,1,95
A000000113494,bodycare,4.8,3,3,0,7,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,11,0,17,6,4,0,0,59
A000000113496,bodycare,4.8,3,0,0,5,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,2,0,0,36
A000000113609,skincare,4.8,4,4,15,0,13,0,0,3,12,0,0,0.25,0.7,0.05,8,0,0,0,1,0,0,0,0,0,7,2,0,65
A000000113611,skincare,4.8,4,0,5,0,18,0,0,2,4,0,0,0.68,0.32,0.01,4,0,0,0,0,0,0,0,0,0,10,3,0,62
A000000114119,skincare,4.7,2,32,14,0,12,0,0,19,23,0,0,0.14,0.6,0.26,16,0,26,7,10,0,0,0,0,0,0,0,0,100
A000000114176,maskpack,4.7,2,18,17,0,6,0,0,54,29,0,0,0.24,0.57,0.2,8,73,10,16,11,0,0,0,0,0,0,0,0,100
A000000114267,cleansing,4.8,5,26,0,38,0,0,0,0,25,0,0,0.07,0.45,0.48,0,0,20,6,44,24,44,0,0,0,24,0,23,98
A000000115199,maskpack,4.8,2,22,13,0,2,0,0,63,28,0,0,0.23,0.59,0.18,6,70,9,7,6,0,0,0,0,0,0,0,0,100
A000000115417,skincare,4.7,4,19,22,0,10,0,0,36,13,0,0,0.21,0.62,0.17,16,0,0,0,10,1,0,0,0,0,10,3,0,92
A000000115418,skincare,4.7,2,26,9,0,3,0,0,40,20,0,0,0.12,0.59,0.3,9,0,31,0,7,0,0,0,0,0,0,0,0,97
A000000115419,skincare,4.7,2,14,20,0,6,0,0,20,14,0,0,0.15,0.43,0.42,16,2,17,3,26,0,0,0,0,0,0,0,0,100
A000000115420,skincare,4.7,2,17,10,0,4,0,0,12,20,0,0,0.11,0.59,0.3,6,0,18,3,12,0,0,0,0,0,0,0,0,96
